,ano,mes,variavel,media,min,max,desvio
0,1991,1,Ia,"3,097561587",0,"16,3476874","4,296222831"
1,1991,2,Ia,"22,6213736","5,493689681","40,66317627","7,941310975"
2,1991,3,Ia,"37,57002242","2,739726027","61,21856867","14,93068973"
3,1991,4,Ia,"14,17934309",0,"38,06881243","6,481777953"
4,1991,5,Ia,"50,30356898","26,50887574","72,15686275","9,158991601"
5,1991,6,Ia,0,0,0,0
6,1991,7,Ia,"42,57621074","25,44169611","58,78284924","5,438467456"
7,1991,8,Ia,"79,93186087","46,25592417","100,87241","11,72624626"
8,1991,9,Ia,"39,17603243","11,33671743","68,71401152","12,2102971"
9,1991,10,Ia,"44,44136752","28,12254517","62,94067068","6,84731771"
10,1991,11,Ia,"2,666528685",0,"17,40121581","4,380133361"
11,1991,12,Ia,0,0,0,0
12,1992,1,Ia,"27,34368389","17,12707182","47,586727","7,073671894"
13,1992,2,Ia,0,0,0,0
14,1992,3,Ia,0,0,0,0
15,1992,4,Ia,0,0,0,0
16,1992,5,Ia,0,0,0,0
17,1992,6,Ia,"22,09781818","6,578947368","43,84858044","7,835464418"
18,1992,7,Ia,"9,789286159",0,"42,41435563","11,41409073"
19,1992,8,Ia,"46,48188485","9,837728195","78,86178862","17,2857575"
20,1992,9,Ia,"41,65726483","9,186602871","71,30528587","12,47683052"
21,1992,10,Ia,"0,1534101326",0,"3,673835125","0,6270417206"
22,1992,11,Ia,"4,176782953",0,"29,9915754","7,396625268"
23,1992,12,Ia,"39,42775699","20,47089601","60,80114449","8,337034456"
24,1993,1,Ia,0,0,0,0
25,1993,2,Ia,"4,92250493",0,"21,59827214","4,103435397"
26,1993,3,Ia,"18,84746287",0,"50,31905196","13,04664498"
27,1993,4,Ia,"15,86672619",0,"41,52637486","12,06198077"
28,1993,5,Ia,0,0,0,0
29,1993,6,Ia,"0,9924577987",0,"14,61038961","2,207158638"
30,1993,7,Ia,"12,85599577",0,"44,93670886","12,36116273"
31,1993,8,Ia,"62,907267","26,54075547","96,72897196","16,25146304"
32,1993,9,Ia,"0,6765932959",0,"13,89195149","1,99335699"
33,1993,10,Ia,0,0,0,0
34,1993,11,Ia,"1,436750928",0,"18,33095578","3,590141841"
35,1993,12,Ia,"2,224283805",0,"6,427503737","1,482309329"
36,1994,1,Ia,"1,810247033",0,"11,12929624","2,841179403"
37,1994,2,Ia,0,0,0,0
38,1994,3,Ia,"37,50967562","4,497991968","55,3667263","13,54927582"
39,1994,4,Ia,"23,47614529",0,"46,32272228","9,51890425"
40,1994,5,Ia,"3,878367174",0,"38,45070423","9,224929077"
41,1994,6,Ia,0,0,0,0
42,1994,7,Ia,"16,87075447",0,"76,31935047","19,9556646"
43,1994,8,Ia,"73,53752234","49,30619796","98,2161595","9,675963741"
44,1994,9,Ia,"34,59096768","5,457598657","103,5815269","27,28373115"
45,1994,10,Ia,"0,04245581616",0,"2,995594714","0,2965454318"
46,1994,11,Ia,"50,50119497","12,86903861","95,73770492","22,90269714"
47,1994,12,Ia,0,0,0,0
48,1995,1,Ia,0,0,0,0
49,1995,2,Ia,0,0,0,0
50,1995,3,Ia,"4,768096918",0,"12,54681648","3,215449579"
51,1995,4,Ia,"40,52496989","14,17399804","71,93548387","11,11813775"
52,1995,5,Ia,"51,11635181","31,51207116","67,30205279","6,026046925"
53,1995,6,Ia,0,0,0,0
54,1995,7,Ia,"41,37388384","7,785888078","78,87931034","14,90774391"
55,1995,8,Ia,"81,48087556","63,97459165","96,88149688","4,718062973"
56,1995,9,Ia,"12,25690946",0,"29,06403941","6,428236281"
57,1995,10,Ia,0,0,0,0
58,1995,11,Ia,"26,37967313","17,23419041","42,84597342","5,540891949"
59,1995,12,Ia,"17,30955084","0,0693481276","34,61237275","7,343132894"
60,1996,1,Ia,0,0,0,0
61,1996,2,Ia,0,0,0,0
62,1996,3,Ia,"0,950406499",0,"7,345225603","1,501014625"
63,1996,4,Ia,"24,19695996","14,15004748","43,86892178","6,648557226"
64,1996,5,Ia,"6,407917465",0,"49,69512195","15,24222167"
65,1996,6,Ia,"36,80445726","9,284627093","76,10619469","15,45502153"
66,1996,7,Ia,"83,71575679","61,30319149","100,3095975","4,625904788"
67,1996,8,Ia,"76,24208986","57,46812386","92,92604502","5,118853886"
68,1996,9,Ia,"15,52089517",0,"31,44058885","7,35960123"
69,1996,10,Ia,0,0,0,0
70,1996,11,Ia,"0,2410787012",0,"4,673650282","0,7195297619"
71,1996,12,Ia,0,0,0,0
72,1997,1,Ia,0,0,0,0
73,1997,2,Ia,0,0,0,0
74,1997,3,Ia,"34,51183475","24,96263079","48,2641829","2,887439764"
75,1997,4,Ia,"27,0275909","18,71820956","45,73991031","4,225312658"
76,1997,5,Ia,"3,542191456",0,"28,94375857","7,894487086"
77,1997,6,Ia,"0,02476076959",0,"3,374777975","0,2606054424"
78,1997,7,Ia,"40,53996633","16,14457831","85,14285714","12,61815706"
79,1997,8,Ia,"63,92426258","47,1127406","79,28870293","4,815823332"
80,1997,9,Ia,"42,6647646","11,00178891","74,39516129","12,92305755"
81,1997,10,Ia,"0,264996093",0,"7,337723424","1,073621884"
82,1997,11,Ia,0,0,0,0
83,1997,12,Ia,"1,461409063",0,"6,928406467","1,835957577"
84,1998,1,Ia,"21,58461682","9,659863946","32,74539877","5,474965631"
85,1998,2,Ia,0,0,0,0
86,1998,3,Ia,0,0,0,0
87,1998,4,Ia,0,0,0,0
88,1998,5,Ia,"0,8431274195",0,"7,213578501","1,775073889"
89,1998,6,Ia,"26,28378934","11,14167813","56,25","8,707131392"
90,1998,7,Ia,"58,23169762","23,25029656","86,67582418","12,07582712"
91,1998,8,Ia,"0,1142869101",0,"7,169811321","0,6716780482"
92,1998,9,Ia,"15,87118896",0,"62,38341969","17,00799636"
93,1998,10,Ia,0,0,0,0
94,1998,11,Ia,"48,78833683","34,75783476","68,71165644","7,274934475"
95,1998,12,Ia,"2,085048648",0,"15,94761171","3,429450313"
96,1999,1,Ia,"0,7801459265",0,"6,244424621","1,406779518"
97,1999,2,Ia,"0,00398856903",0,"0,7797270955","0,05748664711"
98,1999,3,Ia,"19,63914898","9,508460919","37,12465878","5,211785485"
99,1999,4,Ia,"32,36939439","16,79316888","47,17573222","5,154611713"
100,1999,5,Ia,"9,795831136",0,"35,81699346","8,659050588"
101,1999,6,Ia,0,0,0,0
102,1999,7,Ia,"18,40004617","0,6702412869","51,25786164","6,74723265"
103,1999,8,Ia,"91,20629424","68,28422877","109,4246032","6,660363213"
104,1999,9,Ia,"65,46438672","48,04469274","85,48530721","6,087562644"
105,1999,10,Ia,"46,28270208","31,98867657","60,8801956","4,903794464"
106,1999,11,Ia,"45,18382378","36,95054945","59,45098039","3,348504966"
107,1999,12,Ia,"56,75839722","42,40631164","70,76149425","5,150541477"
108,2000,1,Ia,"19,71172428","10,54072553","30,79291763","4,057664821"
109,2000,2,Ia,0,0,0,0
110,2000,3,Ia,"5,347292435",0,"13,75116932","3,307942612"
111,2000,4,Ia,"49,92633563","32,1880651","75,69721116","9,446399048"
112,2000,5,Ia,"34,9195919","2,71270037","70,05571031","16,02626023"
113,2000,6,Ia,"0,4780965035",0,"9,395973154","1,371184098"
114,2000,7,Ia,"21,80570936","3,926701571","62,46153846","11,21136556"
115,2000,8,Ia,"20,6748473","5,841584158","40,74492099","6,896761509"
116,2000,9,Ia,"1,767669347",0,"17,68421053","3,197902155"
117,2000,10,Ia,"20,69172219",0,"50,59571088","16,84885632"
118,2000,11,Ia,"0,02598325725",0,"2,142245073","0,2069430312"
119,2000,12,Ia,"20,266652","3,358464702","43,16205534","8,786884881"
120,2001,1,Ia,"20,9175581","7,911617962","34,22501967","6,145793657"
121,2001,2,Ia,0,0,0,0
122,2001,3,Ia,"6,330670397",0,"12,88848263","3,424118107"
123,2001,4,Ia,"9,248510014","3,370786517","25,10288066","3,431522402"
124,2001,5,Ia,0,0,0,0
125,2001,6,Ia,"0,204398359",0,"5,584642234","0,8619043749"
126,2001,7,Ia,"28,46754664","9,122006842","69,53020134","11,70109705"
127,2001,8,Ia,"72,30292607","47,35449735","89,17793965","6,298435456"
128,2001,9,Ia,"48,08585707","29,84073764","71,74329502","7,670108452"
129,2001,10,Ia,"37,44390656","29,38596491","46,83239775","2,589930678"
130,2001,11,Ia,"1,459248144",0,"19,33797909","4,226191687"
131,2001,12,Ia,"0,1802843339",0,"4,06374502","0,6323969219"
132,2002,1,Ia,"0,9634020048",0,"8,034321373","1,846802001"
133,2002,2,Ia,0,0,0,0
134,2002,3,Ia,"43,79148994","12,23564955","61,51809356","11,20875269"
135,2002,4,Ia,"64,12845642","32,29927007","81,14169215","8,966168665"
136,2002,5,Ia,0,0,0,0
137,2002,6,Ia,"47,98854283","21,58176944","72,39165329","8,761431003"
138,2002,7,Ia,"58,87043328","41,30434783","75,36873156","6,168647243"
139,2002,8,Ia,"33,87805508","18,4501845","49,83888292","4,923692888"
140,2002,9,Ia,"65,33494131","44,80349345","79,44015444","6,265958178"
141,2002,10,Ia,"27,31110198","7,84737221","60,48192771","13,54261496"
142,2002,11,Ia,0,0,0,0
143,2002,12,Ia,"32,14566423","13,61842105","47,00729927","6,149294465"
144,2003,1,Ia,0,0,0,0
145,2003,2,Ia,"0,593576407",0,"6,696832579","1,503115006"
146,2003,3,Ia,"41,78094172","29,10906298","58,88013998","4,242429785"
147,2003,4,Ia,"9,8119346",0,"25,94936709","3,650025902"
148,2003,5,Ia,"40,81839439","27,2215973","61,29441624","6,379202777"
149,2003,6,Ia,"26,73612391",0,"58,41924399","17,10296198"
150,2003,7,Ia,"39,83207406",0,"75,1835536","15,92421866"
151,2003,8,Ia,"63,50900145","51,67144222","76,93965517","3,287662382"
152,2003,9,Ia,"35,94245395","15,87030717","62,89855072","10,98021933"
153,2003,10,Ia,"10,65557641",0,"40,83469722","12,91012547"
154,2003,11,Ia,"25,74329142","11,88903567","48,13432836","7,34042985"
155,2003,12,Ia,"24,35276114","5,95802302","43,46504559","7,979579313"
156,2004,1,Ia,"3,715386846",0,"14,10684474","3,789349489"
157,2004,2,Ia,"25,05204004",0,"52,15398717","15,96025986"
158,2004,3,Ia,"52,32343997","7,703383729","78,04878049","18,16304915"
159,2004,4,Ia,"50,64099876","9,362549801","73,11320755","12,88336007"
160,2004,5,Ia,0,0,0,0
