,ano,mes,variavel,media,min,max,desvio
0,1991,1,Ia,0,0,0,0
1,1991,2,Ia,0,0,0,0
2,1991,3,Ia,0,0,0,0
3,1991,4,Ia,0,0,0,0
4,1991,5,Ia,"2,810460735",0,"11,2522686","2,952912594"
5,1991,6,Ia,0,0,0,0
6,1991,7,Ia,"26,31084283","17,78169014","32,29813665","2,453197699"
7,1991,8,Ia,"1,858931543",0,"11,942959","2,707920719"
8,1991,9,Ia,"12,88644521","4,1013269","22,07001522","3,032095506"
9,1991,10,Ia,0,0,0,0
10,1991,11,Ia,"8,177821399","1,323407775","13,23529412","1,811002706"
11,1991,12,Ia,0,0,0,0
12,1992,1,Ia,0,0,0,0
13,1992,2,Ia,0,0,0,0
14,1992,3,Ia,0,0,0,0
15,1992,4,Ia,"8,078956663",0,"18,70397644","5,264807057"
16,1992,5,Ia,0,0,0,0
17,1992,6,Ia,"12,34766475",0,"20,75055188","3,880644614"
18,1992,7,Ia,0,0,0,0
19,1992,8,Ia,"0,6966488749",0,"6,471816284","1,364429519"
20,1992,9,Ia,0,0,0,0
21,1992,10,Ia,"1,55957078",0,"9,478672986","2,433414153"
22,1992,11,Ia,"0,694461684",0,"6,396588486","1,312771591"
23,1992,12,Ia,"13,72852796","3,21453529","40,90909091","6,157403144"
24,1993,1,Ia,0,0,0,0
25,1993,2,Ia,0,0,0,0
26,1993,3,Ia,0,0,0,0
27,1993,4,Ia,0,0,0,0
28,1993,5,Ia,0,0,0,0
29,1993,6,Ia,0,0,0,0
30,1993,7,Ia,0,0,0,0
31,1993,8,Ia,"10,39470174","1,676829268","18,07017544","3,383021101"
32,1993,9,Ia,0,0,0,0
33,1993,10,Ia,0,0,0,0
34,1993,11,Ia,0,0,0,0
35,1993,12,Ia,0,0,0,0
36,1994,1,Ia,0,0,0,0
37,1994,2,Ia,0,0,0,0
38,1994,3,Ia,0,0,0,0
39,1994,4,Ia,0,0,0,0
40,1994,5,Ia,0,0,0,0
41,1994,6,Ia,0,0,0,0
42,1994,7,Ia,"21,49870491","16,66666667","26,74199623","1,516860457"
43,1994,8,Ia,"56,35082264","43,47826087","76,88356164","5,06384377"
44,1994,9,Ia,"88,12117107","69,32084309","113,8847858","5,288881503"
45,1994,10,Ia,0,0,0,0
46,1994,11,Ia,"7,317185943",0,"16,41337386","3,179016914"
47,1994,12,Ia,0,0,0,0
48,1995,1,Ia,0,0,0,0
49,1995,2,Ia,0,0,0,0
50,1995,3,Ia,0,0,0,0
51,1995,4,Ia,0,0,0,0
52,1995,5,Ia,"4,362938729",0,"14,3442623","4,032287865"
53,1995,6,Ia,0,0,0,0
54,1995,7,Ia,0,0,0,0
55,1995,8,Ia,"9,13279312",0,"18,37748344","4,408779734"
56,1995,9,Ia,0,0,0,0
57,1995,10,Ia,0,0,0,0
58,1995,11,Ia,"0,9947305196",0,"6,992230855","1,483748281"
59,1995,12,Ia,0,0,0,0
60,1996,1,Ia,0,0,0,0
61,1996,2,Ia,0,0,0,0
62,1996,3,Ia,0,0,0,0
63,1996,4,Ia,"0,06898880989",0,"5,112781955","0,4707102678"
64,1996,5,Ia,"9,329328548",0,"21,51898734","5,497061824"
65,1996,6,Ia,0,0,0,0
66,1996,7,Ia,"3,609915827",0,"12,83292978","3,750002379"
67,1996,8,Ia,"1,941765291",0,"10,63464837","2,652014388"
68,1996,9,Ia,0,0,0,0
69,1996,10,Ia,0,0,0,0
70,1996,11,Ia,0,0,0,0
71,1996,12,Ia,0,0,0,0
72,1997,1,Ia,0,0,0,0
73,1997,2,Ia,0,0,0,0
74,1997,3,Ia,"8,253525052","0,6673021926","19,9527745","3,289472933"
75,1997,4,Ia,"1,231542017",0,"11,36363636","2,431014256"
76,1997,5,Ia,"1,111005921",0,"9,233791749","1,960141653"
77,1997,6,Ia,0,0,0,0
78,1997,7,Ia,0,0,0,0
79,1997,8,Ia,"1,000864344",0,"6,896551724","1,621842934"
80,1997,9,Ia,0,0,0,0
81,1997,10,Ia,0,0,0,0
82,1997,11,Ia,0,0,0,0
83,1997,12,Ia,0,0,0,0
84,1998,1,Ia,0,0,0,0
85,1998,2,Ia,0,0,0,0
86,1998,3,Ia,0,0,0,0
87,1998,4,Ia,0,0,0,0
88,1998,5,Ia,0,0,0,0
89,1998,6,Ia,0,0,0,0
90,1998,7,Ia,0,0,0,0
91,1998,8,Ia,0,0,0,0
92,1998,9,Ia,0,0,0,0
93,1998,10,Ia,0,0,0,0
94,1998,11,Ia,"20,35589082","8,864027539","30,05586592","3,241074219"
95,1998,12,Ia,"0,0532131588",0,"3,244274809","0,3035527955"
96,1999,1,Ia,0,0,0,0
97,1999,2,Ia,0,0,0,0
98,1999,3,Ia,0,0,0,0
99,1999,4,Ia,0,0,0,0
100,1999,5,Ia,"0,2059521579",0,"3,58490566","0,6134074627"
101,1999,6,Ia,0,0,0,0
102,1999,7,Ia,0,0,0,0
103,1999,8,Ia,"31,32182303","24,86413043","38,4863124","2,187164612"
104,1999,9,Ia,0,0,0,0
105,1999,10,Ia,0,0,0,0
106,1999,11,Ia,"0,04236434118",0,"3,382187148","0,3215066601"
107,1999,12,Ia,"0,1136502102",0,"3,275529865","0,4620870389"
108,2000,1,Ia,0,0,0,0
109,2000,2,Ia,0,0,0,0
110,2000,3,Ia,0,0,0,0
111,2000,4,Ia,"22,86063516","15,41899441","32,40611961","2,525116561"
112,2000,5,Ia,"45,31336164","25,86466165","66,79316888","6,636095918"
113,2000,6,Ia,0,0,0,0
114,2000,7,Ia,0,0,0,0
115,2000,8,Ia,0,0,0,0
116,2000,9,Ia,0,0,0,0
117,2000,10,Ia,0,0,0,0
118,2000,11,Ia,0,0,0,0
119,2000,12,Ia,0,0,0,0
120,2001,1,Ia,0,0,0,0
121,2001,2,Ia,0,0,0,0
122,2001,3,Ia,0,0,0,0
123,2001,4,Ia,0,0,0,0
124,2001,5,Ia,0,0,0,0
125,2001,6,Ia,0,0,0,0
126,2001,7,Ia,0,0,0,0
127,2001,8,Ia,"7,667342553",0,"15,18151815","3,249953165"
128,2001,9,Ia,0,0,0,0
129,2001,10,Ia,0,0,0,0
130,2001,11,Ia,0,0,0,0
131,2001,12,Ia,0,0,0,0
132,2002,1,Ia,0,0,0,0
133,2002,2,Ia,0,0,0,0
134,2002,3,Ia,0,0,0,0
135,2002,4,Ia,0,0,0,0
136,2002,5,Ia,0,0,0,0
137,2002,6,Ia,"12,39861344",0,"22,04545455","4,149941405"
138,2002,7,Ia,"0,6019311517",0,"9,010989011","1,389932431"
139,2002,8,Ia,0,0,0,0
140,2002,9,Ia,0,0,0,0
141,2002,10,Ia,0,0,0,0
142,2002,11,Ia,0,0,0,0
143,2002,12,Ia,0,0,0,0
144,2003,1,Ia,0,0,0,0
145,2003,2,Ia,0,0,0,0
146,2003,3,Ia,0,0,0,0
147,2003,4,Ia,0,0,0,0
148,2003,5,Ia,"16,26267295","11,12716763","23,35115865","1,894944556"
149,2003,6,Ia,0,0,0,0
150,2003,7,Ia,0,0,0,0
151,2003,8,Ia,"26,5603545","21,19013062","32,14285714","1,539643642"
152,2003,9,Ia,0,0,0,0
153,2003,10,Ia,0,0,0,0
154,2003,11,Ia,0,0,0,0
155,2003,12,Ia,0,0,0,0
156,2004,1,Ia,0,0,0,0
157,2004,2,Ia,0,0,0,0
158,2004,3,Ia,0,0,0,0
159,2004,4,Ia,0,0,0,0
160,2004,5,Ia,0,0,0,0
